in s,C2 in V
-6.0000043E+01,-5.1075745E+00
-5.9999127E+01,-5.1048279E+00
-5.9998212E+01,-5.1051331E+00
-5.9997296E+01,-5.1036072E+00
-5.9996381E+01,-5.1029968E+00
-5.9995465E+01,-5.1063538E+00
-5.9994550E+01,-5.1060486E+00
-5.9993634E+01,-5.1045227E+00
-5.9992719E+01,-5.1014709E+00
-5.9991803E+01,-5.1023865E+00
-5.9990888E+01,-5.1060486E+00
-5.9989972E+01,-5.1060486E+00
-5.9989057E+01,-5.1026917E+00
-5.9988141E+01,-5.0996399E+00
-5.9987226E+01,-5.1020813E+00
-5.9986310E+01,-5.0999451E+00
-5.9985395E+01,-5.1029968E+00
-5.9984479E+01,-5.1036072E+00
-5.9983564E+01,-5.0996399E+00
-5.9982648E+01,-5.0990295E+00
-5.9981732E+01,-5.1020813E+00
-5.9980817E+01,-5.1029968E+00
-5.9979901E+01,-5.1042175E+00
-5.9978986E+01,-5.1051331E+00
-5.9978070E+01,-5.1048279E+00
-5.9977155E+01,-5.1017761E+00
-5.9976239E+01,-5.1008606E+00
-5.9975324E+01,-5.1011658E+00
-5.9974408E+01,-5.0996399E+00
-5.9973493E+01,-5.1033020E+00
-5.9972577E+01,-5.0962830E+00
-5.9971662E+01,-5.1011658E+00
-5.9970746E+01,-5.1023865E+00
-5.9969831E+01,-5.0981140E+00
-5.9968915E+01,-5.1033020E+00
-5.9968000E+01,-5.1002502E+00
-5.9967084E+01,-5.1014709E+00
-5.9966168E+01,-5.1036072E+00
-5.9965253E+01,-5.1048279E+00
-5.9964337E+01,-5.1066589E+00
-5.9963422E+01,-5.1011658E+00
-5.9962506E+01,-5.1036072E+00
-5.9961591E+01,-5.1060486E+00
-5.9960675E+01,-5.1066589E+00
-5.9959760E+01,-5.1063538E+00
-5.9958844E+01,-5.1033020E+00
-5.9957929E+01,-5.1069641E+00
-5.9957013E+01,-5.1048279E+00
-5.9956098E+01,-5.1069641E+00
-5.9955182E+01,-5.1036072E+00
-5.9954267E+01,-5.1081848E+00
-5.9953351E+01,-5.1081848E+00
-5.9952436E+01,-5.1124573E+00
-5.9951520E+01,-5.1054382E+00
-5.9950604E+01,-5.1060486E+00
-5.9949689E+01,-5.1066589E+00
-5.9948773E+01,-5.1048279E+00
-5.9947858E+01,-5.1029968E+00
-5.9946942E+01,-5.1026917E+00
-5.9946027E+01,-5.1023865E+00
-5.9945111E+01,-5.1014709E+00
-5.9944196E+01,-5.1011658E+00
-5.9943280E+01,-5.1014709E+00
-5.9942365E+01,-5.1048279E+00
-5.9941449E+01,-5.0993347E+00
-5.9940534E+01,-5.1017761E+00
-5.9939618E+01,-5.1094055E+00
-5.9938703E+01,-5.1023865E+00
-5.9937787E+01,-5.1069641E+00
-5.9936872E+01,-5.1078796E+00
-5.9935956E+01,-5.1066589E+00
-5.9935041E+01,-5.1091003E+00
-5.9934125E+01,-5.1081848E+00
-5.9933209E+01,-5.1054382E+00
-5.9932294E+01,-5.1075745E+00
-5.9931378E+01,-5.1072693E+00
-5.9930463E+01,-5.1081848E+00
-5.9929547E+01,-5.1051331E+00
-5.9928632E+01,-5.1057434E+00
-5.9927716E+01,-5.1039124E+00
-5.9926801E+01,-5.1036072E+00
-5.9925885E+01,-5.1026917E+00
-5.9924970E+01,-5.1029968E+00
-5.9924054E+01,-5.1033020E+00
-5.9923139E+01,-5.1036072E+00
-5.9922223E+01,-5.0996399E+00
-5.9921308E+01,-5.1029968E+00
-5.9920392E+01,-5.1039124E+00
-5.9919477E+01,-5.1063538E+00
-5.9918561E+01,-5.1036072E+00
-5.9917645E+01,-5.1054382E+00
-5.9916730E+01,-5.1048279E+00
-5.9915814E+01,-5.1048279E+00
-5.9914899E+01,-5.1054382E+00
-5.9913983E+01,-5.1029968E+00
-5.9913068E+01,-5.1066589E+00
-5.9912152E+01,-5.1036072E+00
-5.9911237E+01,-5.1039124E+00
-5.9910321E+01,-5.1036072E+00
-5.9909406E+01,-5.1029968E+00
-5.9908490E+01,-5.1029968E+00
-5.9907575E+01,-5.1017761E+00
-5.9906659E+01,-5.1005554E+00
-5.9905744E+01,-5.1048279E+00
-5.9904828E+01,-5.1042175E+00
-5.9903913E+01,-5.1002502E+00
-5.9902997E+01,-5.0996399E+00
-5.9902082E+01,-5.1023865E+00
-5.9901166E+01,-5.0968933E+00
-5.9900250E+01,-5.0996399E+00
-5.9899335E+01,-5.1020813E+00
-5.9898419E+01,-5.1008606E+00
-5.9897504E+01,-5.1026917E+00
-5.9896588E+01,-5.1014709E+00
-5.9895673E+01,-5.0999451E+00
-5.9894757E+01,-5.1011658E+00
-5.9893842E+01,-5.1054382E+00
-5.9892926E+01,-5.1075745E+00
-5.9892011E+01,-5.1026917E+00
-5.9891095E+01,-5.1020813E+00
-5.9890180E+01,-5.0999451E+00
-5.9889264E+01,-5.1014709E+00
-5.9888349E+01,-5.1057434E+00
-5.9887433E+01,-5.1054382E+00
-5.9886518E+01,-5.1026917E+00
-5.9885602E+01,-5.1023865E+00
-5.9884686E+01,-5.1017761E+00
-5.9883771E+01,-5.1042175E+00
-5.9882855E+01,-5.1026917E+00
-5.9881940E+01,-5.1060486E+00
-5.9881024E+01,-5.1072693E+00
-5.9880109E+01,-5.1011658E+00
-5.9879193E+01,-5.1026917E+00
-5.9878278E+01,-5.0987244E+00
-5.9877362E+01,-5.1039124E+00
-5.9876447E+01,-5.1029968E+00
-5.9875531E+01,-5.1002502E+00
-5.9874616E+01,-5.1026917E+00
-5.9873700E+01,-5.1029968E+00
-5.9872785E+01,-5.1005554E+00
-5.9871869E+01,-5.1045227E+00
-5.9870954E+01,-5.1014709E+00
