in s,C2 in V
-1.2000428E+01,4.2372131E+00
-1.2000245E+01,4.2457581E+00
-1.2000062E+01,4.2570496E+00
-1.1999879E+01,4.2698669E+00
-1.1999696E+01,4.2741394E+00
-1.1999512E+01,4.2701721E+00
-1.1999329E+01,4.2759705E+00
-1.1999146E+01,4.2781067E+00
-1.1998963E+01,4.2811584E+00
-1.1998780E+01,4.2887878E+00
-1.1998597E+01,4.2948914E+00
-1.1998414E+01,4.3037415E+00
-1.1998231E+01,4.3037415E+00
-1.1998048E+01,4.2997742E+00
-1.1997864E+01,4.3006897E+00
-1.1997681E+01,4.3104553E+00
-1.1997498E+01,4.3110657E+00
-1.1997315E+01,4.3049622E+00
-1.1997132E+01,4.3013000E+00
-1.1996949E+01,4.2991638E+00
-1.1996766E+01,4.2955017E+00
-1.1996583E+01,4.2982483E+00
-1.1996400E+01,4.3013000E+00
-1.1996216E+01,4.2933655E+00
-1.1996033E+01,4.2884827E+00
-1.1995850E+01,4.2869568E+00
-1.1995667E+01,4.2842102E+00
-1.1995484E+01,4.2817688E+00
-1.1995301E+01,4.2799377E+00
-1.1995118E+01,4.2729187E+00
-1.1994935E+01,4.2649841E+00
-1.1994752E+01,4.2585754E+00
-1.1994568E+01,4.2518616E+00
-1.1994385E+01,4.2448425E+00
-1.1994202E+01,4.2359924E+00
-1.1994019E+01,4.2280579E+00
-1.1993836E+01,4.2262268E+00
-1.1993653E+01,4.2225647E+00
-1.1993470E+01,4.2048645E+00
-1.1993287E+01,4.1889954E+00
-1.1993104E+01,4.1786194E+00
-1.1992920E+01,4.1667175E+00
-1.1992737E+01,4.1523743E+00
-1.1992554E+01,4.1358948E+00
-1.1992371E+01,4.1206360E+00
-1.1992188E+01,4.1127014E+00
-1.1992005E+01,4.0928650E+00
-1.1991822E+01,4.0766907E+00
-1.1991639E+01,4.0522766E+00
-1.1991456E+01,4.0388489E+00
-1.1991272E+01,4.0281677E+00
-1.1991089E+01,4.0184021E+00
-1.1990906E+01,3.9967346E+00
-1.1990723E+01,3.9735413E+00
-1.1990540E+01,3.9561462E+00
-1.1990357E+01,3.9280701E+00
-1.1990174E+01,3.9042664E+00
-1.1989991E+01,3.8835144E+00
-1.1989808E+01,3.8667297E+00
-1.1989624E+01,3.8383484E+00
-1.1989441E+01,3.8124084E+00
-1.1989258E+01,3.7855530E+00
-1.1989075E+01,3.7705994E+00
-1.1988892E+01,3.7431335E+00
-1.1988709E+01,3.7184143E+00
-1.1988526E+01,3.6936951E+00
-1.1988343E+01,3.6701965E+00
-1.1988160E+01,3.6433411E+00
-1.1987976E+01,3.6109924E+00
-1.1987793E+01,3.5823059E+00
-1.1987610E+01,3.5520935E+00
-1.1987427E+01,3.5200500E+00
-1.1987244E+01,3.4934998E+00
-1.1987061E+01,3.4620667E+00
-1.1986878E+01,3.4349060E+00
-1.1986695E+01,3.3995056E+00
-1.1986512E+01,3.3613586E+00
-1.1986328E+01,3.3293152E+00
-1.1986145E+01,3.2957458E+00
-1.1985962E+01,3.2633972E+00
-1.1985779E+01,3.2295227E+00
-1.1985596E+01,3.1913757E+00
-1.1985413E+01,3.1538391E+00
-1.1985230E+01,3.1169128E+00
-1.1985047E+01,3.0763245E+00
-1.1984864E+01,3.0384827E+00
-1.1984680E+01,2.9981995E+00
-1.1984497E+01,2.9634094E+00
-1.1984314E+01,2.9273987E+00
-1.1984131E+01,2.8822327E+00
-1.1983948E+01,2.8416443E+00
-1.1983765E+01,2.7946472E+00
-1.1983582E+01,2.7488708E+00
-1.1983399E+01,2.7070618E+00
-1.1983216E+01,2.6765442E+00
-1.1983032E+01,2.6347351E+00
-1.1982849E+01,2.5837708E+00
-1.1982666E+01,2.5334167E+00
-1.1982483E+01,2.4855042E+00
-1.1982300E+01,2.4430847E+00
-1.1982117E+01,2.3945618E+00
-1.1981934E+01,2.3539734E+00
-1.1981751E+01,2.3097229E+00
-1.1981567E+01,2.2575378E+00
-1.1981384E+01,2.2071838E+00
-1.1981201E+01,2.1507263E+00
-1.1981018E+01,2.1076965E+00
-1.1980835E+01,2.0561218E+00
-1.1980652E+01,1.9966125E+00
-1.1980469E+01,1.9441223E+00
-1.1980286E+01,1.8928528E+00
-1.1980103E+01,1.8394470E+00
-1.1979919E+01,1.7784119E+00
-1.1979736E+01,1.7225647E+00
-1.1979553E+01,1.6697693E+00
-1.1979370E+01,1.6230774E+00
-1.1979187E+01,1.5678406E+00
-1.1979004E+01,1.5113831E+00
-1.1978821E+01,1.4540100E+00
-1.1978638E+01,1.3923645E+00
-1.1978455E+01,1.3304138E+00
-1.1978271E+01,1.2709045E+00
-1.1978088E+01,1.2135315E+00
-1.1977905E+01,1.1500549E+00
-1.1977722E+01,1.0890198E+00
-1.1977539E+01,1.0310364E+00
-1.1977356E+01,9.7274780E-01
-1.1977173E+01,9.1720581E-01
-1.1976990E+01,8.5250854E-01
-1.1976807E+01,7.9025269E-01
-1.1976623E+01,7.2525024E-01
-1.1976440E+01,6.5719604E-01
-1.1976257E+01,5.8883667E-01
-1.1976074E+01,5.2017212E-01
-1.1975891E+01,4.5852661E-01
-1.1975708E+01,3.8345337E-01
-1.1975525E+01,3.1295776E-01
-1.1975342E+01,2.4032593E-01
-1.1975159E+01,1.6891479E-01
-1.1974975E+01,9.6588135E-02
-1.1974792E+01,2.5177002E-02
-1.1974609E+01,-3.9825439E-02
-1.1974426E+01,-1.0269165E-01
-1.1974243E+01,-1.7227173E-01
-1.1974060E+01,-2.4520874E-01
-1.1973877E+01,-3.2394409E-01
-1.1973694E+01,-3.9596558E-01
-1.1973511E+01,-4.6920776E-01
-1.1973327E+01,-5.4275513E-01
-1.1973144E+01,-6.1843872E-01
-1.1972961E+01,-6.9290161E-01
-1.1972778E+01,-7.6004028E-01
-1.1972595E+01,-8.4548950E-01
-1.1972412E+01,-9.1323853E-01
-1.1972229E+01,-9.9136353E-01
-1.1972046E+01,-1.0737610E+00
-1.1971863E+01,-1.1531067E+00
-1.1971679E+01,-1.2229919E+00
-1.1971496E+01,-1.3084412E+00
-1.1971313E+01,-1.3832092E+00
-1.1971130E+01,-1.4683533E+00
-1.1970947E+01,-1.5473938E+00
-1.1970764E+01,-1.6334534E+00
-1.1970581E+01,-1.7198181E+00
-1.1970398E+01,-1.8049622E+00
-1.1970215E+01,-1.8840027E+00
-1.1970031E+01,-1.9688416E+00
-1.1969848E+01,-2.0549011E+00
-1.1969665E+01,-2.1315002E+00
-1.1969482E+01,-2.2181702E+00
-1.1969299E+01,-2.3023987E+00
-1.1969116E+01,-2.3860168E+00
-1.1968933E+01,-2.4656677E+00
-1.1968750E+01,-2.5474548E+00
-1.1968567E+01,-2.6396179E+00
-1.1968383E+01,-2.7296448E+00
-1.1968200E+01,-2.8199768E+00
-1.1968017E+01,-2.9075623E+00
-1.1967834E+01,-2.9951477E+00
-1.1967651E+01,-3.0845642E+00
-1.1967468E+01,-3.1733704E+00
-1.1967285E+01,-3.2585144E+00
-1.1967102E+01,-3.3470154E+00
-1.1966919E+01,-3.4422302E+00
-1.1966735E+01,-3.5319519E+00
-1.1966552E+01,-3.6164856E+00
-1.1966369E+01,-3.7168884E+00
-1.1966186E+01,-3.8124084E+00
-1.1966003E+01,-3.8954163E+00
-1.1965820E+01,-3.9881897E+00
-1.1965637E+01,-4.0815735E+00
-1.1965454E+01,-4.1786194E+00
-1.1965271E+01,-4.2753601E+00
-1.1965087E+01,-4.3623352E+00
-1.1964904E+01,-4.4578552E+00
-1.1964721E+01,-4.5558167E+00
-1.1964538E+01,-4.6614075E+00
-1.1964355E+01,-4.7480774E+00
-1.1964172E+01,-4.8387146E+00
-1.1963989E+01,-4.9061584E+00
-1.1963806E+01,-4.9461365E+00
-1.1963623E+01,-4.9635315E+00
-1.1963439E+01,-4.9732971E+00
-1.1963256E+01,-4.9879456E+00
-1.1963073E+01,-4.9931335E+00
-1.1962890E+01,-4.9961853E+00
-1.1962707E+01,-4.9971008E+00
-1.1962524E+01,-5.0013733E+00
-1.1962341E+01,-5.0096130E+00
-1.1962158E+01,-5.0117493E+00
-1.1961975E+01,-5.0160217E+00
-1.1961791E+01,-5.0212097E+00
-1.1961608E+01,-5.0209045E+00
-1.1961425E+01,-5.0227356E+00
-1.1961242E+01,-5.0230408E+00
-1.1961059E+01,-5.0306702E+00
-1.1960876E+01,-5.0328064E+00
-1.1960693E+01,-5.0334167E+00
-1.1960510E+01,-5.0270081E+00
-1.1960327E+01,-5.0361633E+00
-1.1960143E+01,-5.0370789E+00
-1.1959960E+01,-5.0407410E+00
-1.1959777E+01,-5.0422668E+00
-1.1959594E+01,-5.0437927E+00
-1.1959411E+01,-5.0453186E+00
-1.1959228E+01,-5.0462341E+00
-1.1959045E+01,-5.0502014E+00
-1.1958862E+01,-5.0581360E+00
-1.1958678E+01,-5.0526428E+00
-1.1958495E+01,-5.0541687E+00
-1.1958312E+01,-5.0587463E+00
-1.1958129E+01,-5.0593567E+00
-1.1957946E+01,-5.0563049E+00
-1.1957763E+01,-5.0553894E+00
-1.1957580E+01,-5.0526428E+00
-1.1957397E+01,-5.0544739E+00
-1.1957214E+01,-5.0617981E+00
-1.1957030E+01,-5.0636292E+00
-1.1956847E+01,-5.0672913E+00
-1.1956664E+01,-5.0669861E+00
-1.1956481E+01,-5.0663757E+00
-1.1956298E+01,-5.0660706E+00
-1.1956115E+01,-5.0682068E+00
-1.1955932E+01,-5.0648499E+00
-1.1955749E+01,-5.0663757E+00
-1.1955566E+01,-5.0715637E+00
-1.1955382E+01,-5.0749207E+00
-1.1955199E+01,-5.0767517E+00
-1.1955016E+01,-5.0779724E+00
-1.1954833E+01,-5.0794983E+00
