in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+02,-2.232E+01,-9.263E+01,1.000E+00
2.00E+00,1.015E+02,-2.219E+01,-9.273E+01,1.000E+00
3.00E+00,1.031E+02,-2.206E+01,-9.278E+01,1.000E+00
4.00E+00,1.047E+02,-2.192E+01,-9.274E+01,1.000E+00
5.00E+00,1.063E+02,-2.178E+01,-9.288E+01,1.000E+00
6.00E+00,1.080E+02,-2.165E+01,-9.286E+01,1.000E+00
7.00E+00,1.096E+02,-2.152E+01,-9.289E+01,1.000E+00
8.00E+00,1.113E+02,-2.138E+01,-9.293E+01,1.000E+00
9.00E+00,1.131E+02,-2.124E+01,-9.298E+01,1.000E+00
1.00E+01,1.148E+02,-2.110E+01,-9.303E+01,1.000E+00
1.10E+01,1.166E+02,-2.096E+01,-9.305E+01,1.000E+00
1.20E+01,1.184E+02,-2.083E+01,-9.313E+01,1.000E+00
1.30E+01,1.202E+02,-2.070E+01,-9.313E+01,1.000E+00
1.40E+01,1.221E+02,-2.057E+01,-9.320E+01,1.000E+00
1.50E+01,1.240E+02,-2.042E+01,-9.320E+01,1.000E+00
1.60E+01,1.259E+02,-2.029E+01,-9.324E+01,1.000E+00
1.70E+01,1.278E+02,-2.015E+01,-9.331E+01,1.000E+00
1.80E+01,1.298E+02,-2.002E+01,-9.338E+01,1.000E+00
1.90E+01,1.318E+02,-1.988E+01,-9.348E+01,1.000E+00
2.00E+01,1.339E+02,-1.974E+01,-9.354E+01,1.000E+00
2.10E+01,1.359E+02,-1.961E+01,-9.356E+01,1.000E+00
2.20E+01,1.380E+02,-1.947E+01,-9.362E+01,1.000E+00
2.30E+01,1.402E+02,-1.933E+01,-9.369E+01,1.000E+00
2.40E+01,1.423E+02,-1.920E+01,-9.369E+01,1.000E+00
2.50E+01,1.445E+02,-1.906E+01,-9.374E+01,1.000E+00
2.60E+01,1.468E+02,-1.885E+01,-9.376E+01,1.000E+00
2.70E+01,1.491E+02,-1.872E+01,-9.372E+01,1.000E+00
2.80E+01,1.514E+02,-1.858E+01,-9.379E+01,1.000E+00
2.90E+01,1.537E+02,-1.844E+01,-9.384E+01,1.000E+00
3.00E+01,1.561E+02,-1.830E+01,-9.386E+01,1.000E+00
3.10E+01,1.585E+02,-1.816E+01,-9.396E+01,1.000E+00
3.20E+01,1.609E+02,-1.803E+01,-9.404E+01,1.000E+00
3.30E+01,1.634E+02,-1.789E+01,-9.415E+01,1.000E+00
3.40E+01,1.660E+02,-1.774E+01,-9.423E+01,1.000E+00
3.50E+01,1.685E+02,-1.761E+01,-9.428E+01,1.000E+00
3.60E+01,1.711E+02,-1.746E+01,-9.438E+01,1.000E+00
3.70E+01,1.738E+02,-1.733E+01,-9.447E+01,1.000E+00
3.80E+01,1.765E+02,-1.723E+01,-9.454E+01,1.000E+00
3.90E+01,1.792E+02,-1.709E+01,-9.464E+01,1.000E+00
4.00E+01,1.820E+02,-1.695E+01,-9.467E+01,1.000E+00
4.10E+01,1.848E+02,-1.681E+01,-9.473E+01,1.000E+00
4.20E+01,1.876E+02,-1.668E+01,-9.476E+01,1.000E+00
4.30E+01,1.905E+02,-1.655E+01,-9.480E+01,1.000E+00
4.40E+01,1.935E+02,-1.641E+01,-9.483E+01,1.000E+00
4.50E+01,1.965E+02,-1.627E+01,-9.489E+01,1.000E+00
4.60E+01,1.995E+02,-1.613E+01,-9.496E+01,1.000E+00
4.70E+01,2.026E+02,-1.598E+01,-9.511E+01,1.000E+00
4.80E+01,2.057E+02,-1.584E+01,-9.519E+01,1.000E+00
4.90E+01,2.089E+02,-1.570E+01,-9.527E+01,1.000E+00
5.00E+01,2.122E+02,-1.553E+01,-9.538E+01,1.000E+00
5.10E+01,2.154E+02,-1.539E+01,-9.546E+01,1.000E+00
