in s,C1 in V
-5.97008E-04,2.914753E-01
-5.96992E-04,2.911506E-01
-5.96976E-04,2.909679E-01
-5.96960E-04,2.904403E-01
-5.96944E-04,2.912926E-01
-5.96928E-04,2.903185E-01
-5.96912E-04,2.910897E-01
-5.96896E-04,2.901765E-01
-5.96880E-04,2.912926E-01
-5.96864E-04,2.906432E-01
-5.96848E-04,2.912926E-01
-5.96832E-04,2.904403E-01
-5.96816E-04,2.907650E-01
-5.96800E-04,2.903794E-01
-5.96784E-04,2.914753E-01
-5.96768E-04,2.893444E-01
-5.96752E-04,2.897909E-01
-5.96736E-04,2.905621E-01
-5.96720E-04,2.902374E-01
-5.96704E-04,2.895879E-01
-5.96688E-04,2.894053E-01
-5.96672E-04,2.913535E-01
-5.96656E-04,2.907041E-01
-5.96640E-04,2.907650E-01
-5.96624E-04,2.900547E-01
-5.96608E-04,2.913535E-01
-5.96592E-04,2.894053E-01
-5.96576E-04,2.909679E-01
-5.96560E-04,2.894053E-01
-5.96544E-04,2.913535E-01
-5.96528E-04,2.903185E-01
-5.96512E-04,2.900547E-01
-5.96496E-04,2.903185E-01
-5.96480E-04,2.901156E-01
-5.96464E-04,2.909679E-01
-5.96448E-04,2.898518E-01
-5.96432E-04,2.899938E-01
-5.96416E-04,2.884312E-01
-5.96400E-04,2.903794E-01
-5.96384E-04,2.893444E-01
-5.96368E-04,2.887559E-01
-5.96352E-04,2.879035E-01
-5.96336E-04,2.886950E-01
-5.96320E-04,2.882282E-01
-5.96304E-04,2.891415E-01
-5.96288E-04,2.892632E-01
-5.96272E-04,2.887559E-01
-5.96256E-04,2.885529E-01
-5.96240E-04,2.887559E-01
-5.96224E-04,2.891415E-01
-5.96208E-04,2.881065E-01
-5.96192E-04,2.893444E-01
-5.96176E-04,2.886950E-01
-5.96160E-04,2.892632E-01
-5.96144E-04,2.885529E-01
-5.96128E-04,2.883703E-01
-5.96112E-04,2.886138E-01
-5.96096E-04,2.890806E-01
-5.96080E-04,2.884312E-01
-5.96064E-04,2.881673E-01
-5.96048E-04,2.884921E-01
-5.96032E-04,2.882282E-01
-5.96016E-04,2.897909E-01
-5.96000E-04,2.875788E-01
-5.95984E-04,2.908259E-01
-5.95968E-04,2.881673E-01
-5.95952E-04,2.886950E-01
-5.95936E-04,2.883703E-01
-5.95920E-04,2.893444E-01
-5.95904E-04,2.881065E-01
-5.95888E-04,2.873759E-01
-5.95872E-04,2.879035E-01
-5.95856E-04,2.876397E-01
-5.95840E-04,2.878426E-01
-5.95824E-04,2.877209E-01
-5.95808E-04,2.877818E-01
-5.95792E-04,2.862191E-01
-5.95776E-04,2.875179E-01
-5.95760E-04,2.864017E-01
-5.95744E-04,2.871932E-01
-5.95728E-04,2.872541E-01
-5.95712E-04,2.876397E-01
-5.95696E-04,2.869294E-01
-5.95680E-04,2.873759E-01
-5.95664E-04,2.881065E-01
-5.95648E-04,2.866656E-01
-5.95632E-04,2.881673E-01
-5.95616E-04,2.863409E-01
-5.95600E-04,2.873759E-01
-5.95584E-04,2.863409E-01
-5.95568E-04,2.882282E-01
-5.95552E-04,2.863409E-01
-5.95536E-04,2.864829E-01
-5.95520E-04,2.868076E-01
-5.95504E-04,2.867265E-01
-5.95488E-04,2.870512E-01
-5.95472E-04,2.878426E-01
-5.95456E-04,2.869903E-01
-5.95440E-04,2.859553E-01
-5.95424E-04,2.871323E-01
-5.95408E-04,2.851029E-01
-5.95392E-04,2.890197E-01
-5.95376E-04,2.858944E-01
-5.95360E-04,2.879644E-01
-5.95344E-04,2.868685E-01
-5.95328E-04,2.864017E-01
-5.95312E-04,2.857523E-01
-5.95296E-04,2.869903E-01
-5.95280E-04,2.866047E-01
-5.95264E-04,2.866047E-01
-5.95248E-04,2.854276E-01
-5.95232E-04,2.867265E-01
-5.95216E-04,2.849812E-01
-5.95200E-04,2.879644E-01
-5.95184E-04,2.871323E-01
-5.95168E-04,2.855088E-01
-5.95152E-04,2.882282E-01
-5.95136E-04,2.855697E-01
-5.95120E-04,2.882891E-01
-5.95104E-04,2.867265E-01
-5.95088E-04,2.868076E-01
-5.95072E-04,2.845347E-01
-5.95056E-04,2.850420E-01
-5.95040E-04,2.856915E-01
-5.95024E-04,2.851841E-01
-5.95008E-04,2.858944E-01
-5.94992E-04,2.856306E-01
-5.94976E-04,2.859553E-01
-5.94960E-04,2.853059E-01
-5.94944E-04,2.875179E-01
-5.94928E-04,2.853059E-01
-5.94912E-04,2.862800E-01
-5.94896E-04,2.871932E-01
-5.94880E-04,2.857523E-01
-5.94864E-04,2.855697E-01
-5.94848E-04,2.860770E-01
-5.94832E-04,2.847173E-01
-5.94816E-04,2.853059E-01
-5.94800E-04,2.849812E-01
-5.94784E-04,2.852450E-01
-5.94768E-04,2.859553E-01
-5.94752E-04,2.856915E-01
-5.94736E-04,2.849203E-01
-5.94720E-04,2.866047E-01
-5.94704E-04,2.858335E-01
-5.94688E-04,2.849812E-01
-5.94672E-04,2.859553E-01
-5.94656E-04,2.846564E-01
-5.94640E-04,2.862800E-01
-5.94624E-04,2.850420E-01
-5.94608E-04,2.856306E-01
-5.94592E-04,2.852450E-01
-5.94576E-04,2.849812E-01
-5.94560E-04,2.853667E-01
-5.94544E-04,2.847173E-01
-5.94528E-04,2.860162E-01
-5.94512E-04,2.844535E-01
-5.94496E-04,2.847173E-01
-5.94480E-04,2.847782E-01
-5.94464E-04,2.845956E-01
-5.94448E-04,2.859553E-01
-5.94432E-04,2.855697E-01
-5.94416E-04,2.860162E-01
-5.94400E-04,2.849812E-01
-5.94384E-04,2.853059E-01
-5.94368E-04,2.836214E-01
-5.94352E-04,2.845956E-01
-5.94336E-04,2.841288E-01
-5.94320E-04,2.843926E-01
-5.94304E-04,2.840679E-01
-5.94288E-04,2.842709E-01
-5.94272E-04,2.858944E-01
-5.94256E-04,2.842709E-01
-5.94240E-04,2.848594E-01
-5.94224E-04,2.841288E-01
-5.94208E-04,2.840679E-01
-5.94192E-04,2.834794E-01
-5.94176E-04,2.846564E-01
-5.94160E-04,2.847782E-01
-5.94144E-04,2.851029E-01
-5.94128E-04,2.855088E-01
-5.94112E-04,2.855088E-01
-5.94096E-04,2.840679E-01
-5.94080E-04,2.849203E-01
-5.94064E-04,2.841288E-01
-5.94048E-04,2.862191E-01
-5.94032E-04,2.834794E-01
-5.94016E-04,2.840070E-01
-5.94000E-04,2.838853E-01
-5.93984E-04,2.844535E-01
-5.93968E-04,2.826473E-01
-5.93952E-04,2.827082E-01
-5.93936E-04,2.841288E-01
-5.93920E-04,2.847782E-01
-5.93904E-04,2.847173E-01
-5.93888E-04,2.834185E-01
-5.93872E-04,2.832967E-01
-5.93856E-04,2.824444E-01
-5.93840E-04,2.848594E-01
-5.93824E-04,2.842100E-01
-5.93808E-04,2.840070E-01
-5.93792E-04,2.821806E-01
-5.93776E-04,2.822414E-01
-5.93760E-04,2.834185E-01
-5.93744E-04,2.838041E-01
-5.93728E-04,2.828300E-01
