in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+02,-3.015E+01,-9.358E+01,2.000E-01
2.00E+00,1.015E+02,-2.960E+01,-9.370E+01,2.000E-01
3.00E+00,1.031E+02,-2.958E+01,-9.272E+01,2.000E-01
4.00E+00,1.047E+02,-2.962E+01,-9.393E+01,2.000E-01
5.00E+00,1.063E+02,-2.986E+01,-9.285E+01,2.000E-01
6.00E+00,1.080E+02,-2.947E+01,-9.314E+01,2.000E-01
7.00E+00,1.096E+02,-3.003E+01,-9.252E+01,2.000E-01
8.00E+00,1.113E+02,-2.966E+01,-9.340E+01,2.000E-01
9.00E+00,1.131E+02,-2.896E+01,-9.375E+01,2.000E-01
1.00E+01,1.148E+02,-2.892E+01,-9.358E+01,2.000E-01
1.10E+01,1.166E+02,-2.868E+01,-9.322E+01,2.000E-01
1.20E+01,1.184E+02,-2.921E+01,-9.319E+01,2.000E-01
1.30E+01,1.202E+02,-2.892E+01,-9.381E+01,2.000E-01
1.40E+01,1.221E+02,-2.856E+01,-9.318E+01,2.000E-01
1.50E+01,1.240E+02,-2.848E+01,-9.386E+01,2.000E-01
1.60E+01,1.259E+02,-2.855E+01,-9.312E+01,2.000E-01
1.70E+01,1.278E+02,-2.775E+01,-9.351E+01,2.000E-01
1.80E+01,1.298E+02,-2.731E+01,-9.382E+01,2.000E-01
1.90E+01,1.318E+02,-2.722E+01,-9.329E+01,2.000E-01
2.00E+01,1.339E+02,-2.664E+01,-9.398E+01,2.000E-01
2.10E+01,1.359E+02,-2.588E+01,-9.341E+01,2.000E-01
2.20E+01,1.380E+02,-2.623E+01,-9.434E+01,2.000E-01
2.30E+01,1.402E+02,-2.609E+01,-9.350E+01,2.000E-01
2.40E+01,1.423E+02,-2.528E+01,-9.408E+01,2.000E-01
2.50E+01,1.445E+02,-2.564E+01,-9.416E+01,2.000E-01
2.60E+01,1.468E+02,-2.413E+01,-9.477E+01,2.000E-01
2.70E+01,1.491E+02,-2.326E+01,-9.392E+01,2.000E-01
2.80E+01,1.514E+02,-2.303E+01,-9.434E+01,2.000E-01
2.90E+01,1.537E+02,-2.270E+01,-9.387E+01,2.000E-01
3.00E+01,1.561E+02,-2.248E+01,-9.447E+01,2.000E-01
3.10E+01,1.585E+02,-2.200E+01,-9.422E+01,2.000E-01
3.20E+01,1.609E+02,-2.228E+01,-9.463E+01,2.000E-01
3.30E+01,1.634E+02,-2.206E+01,-9.440E+01,2.000E-01
