in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,3.501E+01,-7.849E+01,1.000E-02
2.00E+00,1.023E+01,3.487E+01,-7.960E+01,1.000E-02
3.00E+00,1.047E+01,3.463E+01,-8.109E+01,1.000E-02
4.00E+00,1.072E+01,3.447E+01,-8.228E+01,1.000E-02
5.00E+00,1.096E+01,3.426E+01,-8.397E+01,1.000E-02
6.00E+00,1.122E+01,3.409E+01,-8.508E+01,1.000E-02
7.00E+00,1.148E+01,3.389E+01,-8.646E+01,1.000E-02
8.00E+00,1.175E+01,3.375E+01,-8.751E+01,1.000E-02
9.00E+00,1.202E+01,3.352E+01,-8.884E+01,1.000E-02
1.00E+01,1.230E+01,3.331E+01,-9.042E+01,1.000E-02
1.10E+01,1.259E+01,3.306E+01,-9.205E+01,1.000E-02
1.20E+01,1.288E+01,3.284E+01,-9.319E+01,1.000E-02
1.30E+01,1.318E+01,3.262E+01,-9.448E+01,1.000E-02
1.40E+01,1.349E+01,3.238E+01,-9.582E+01,1.000E-02
1.50E+01,1.380E+01,3.216E+01,-9.718E+01,1.000E-02
1.60E+01,1.413E+01,3.194E+01,-9.835E+01,1.000E-02
1.70E+01,1.445E+01,3.161E+01,-1.000E+02,1.000E-02
1.80E+01,1.479E+01,3.139E+01,-1.012E+02,1.000E-02
1.90E+01,1.514E+01,3.119E+01,-1.023E+02,1.000E-02
2.00E+01,1.549E+01,3.088E+01,-1.037E+02,1.000E-02
2.10E+01,1.585E+01,3.066E+01,-1.052E+02,1.000E-02
2.20E+01,1.622E+01,3.038E+01,-1.066E+02,1.000E-02
2.30E+01,1.660E+01,3.006E+01,-1.080E+02,1.000E-02
2.40E+01,1.698E+01,2.977E+01,-1.092E+02,1.000E-02
2.50E+01,1.738E+01,2.948E+01,-1.105E+02,1.000E-02
2.60E+01,1.778E+01,2.920E+01,-1.120E+02,1.000E-02
2.70E+01,1.820E+01,2.891E+01,-1.130E+02,1.000E-02
2.80E+01,1.862E+01,2.862E+01,-1.141E+02,1.000E-02
2.90E+01,1.905E+01,2.824E+01,-1.158E+02,1.000E-02
3.00E+01,1.950E+01,2.798E+01,-1.167E+02,1.000E-02
3.10E+01,1.995E+01,2.763E+01,-1.184E+02,1.000E-02
3.20E+01,2.042E+01,2.733E+01,-1.192E+02,1.000E-02
3.30E+01,2.089E+01,2.698E+01,-1.207E+02,1.000E-02
3.40E+01,2.138E+01,2.660E+01,-1.218E+02,1.000E-02
3.50E+01,2.188E+01,2.630E+01,-1.233E+02,1.000E-02
3.60E+01,2.239E+01,2.594E+01,-1.243E+02,1.000E-02
3.70E+01,2.291E+01,2.557E+01,-1.253E+02,1.000E-02
3.80E+01,2.344E+01,2.523E+01,-1.266E+02,1.000E-02
3.90E+01,2.399E+01,2.484E+01,-1.280E+02,1.000E-02
4.00E+01,2.455E+01,2.447E+01,-1.289E+02,1.000E-02
4.10E+01,2.512E+01,2.410E+01,-1.306E+02,1.000E-02
4.20E+01,2.570E+01,2.368E+01,-1.314E+02,1.000E-02
4.30E+01,2.630E+01,2.323E+01,-1.326E+02,1.000E-02
4.40E+01,2.692E+01,2.284E+01,-1.336E+02,1.000E-02
4.50E+01,2.754E+01,2.241E+01,-1.349E+02,1.000E-02
4.60E+01,2.818E+01,2.199E+01,-1.360E+02,1.000E-02
4.70E+01,2.884E+01,2.159E+01,-1.371E+02,1.000E-02
4.80E+01,2.951E+01,2.114E+01,-1.382E+02,1.000E-02
4.90E+01,3.020E+01,2.067E+01,-1.392E+02,1.000E-02
5.00E+01,3.090E+01,2.019E+01,-1.405E+02,1.000E-02
5.10E+01,3.162E+01,1.974E+01,-1.414E+02,1.000E-02
5.20E+01,3.236E+01,1.923E+01,-1.425E+02,1.000E-02
5.30E+01,3.311E+01,1.874E+01,-1.436E+02,1.000E-02
5.40E+01,3.388E+01,1.821E+01,-1.445E+02,1.000E-02
5.50E+01,3.467E+01,1.770E+01,-1.456E+02,1.000E-02
5.60E+01,3.548E+01,1.717E+01,-1.466E+02,1.000E-02
5.70E+01,3.631E+01,1.660E+01,-1.476E+02,1.000E-02
5.80E+01,3.715E+01,1.601E+01,-1.486E+02,1.000E-02
5.90E+01,3.802E+01,1.545E+01,-1.494E+02,1.000E-02
6.00E+01,3.890E+01,1.484E+01,-1.505E+02,1.000E-02
6.10E+01,3.981E+01,1.423E+01,-1.513E+02,1.000E-02
6.20E+01,4.074E+01,1.360E+01,-1.525E+02,1.000E-02
6.30E+01,4.169E+01,1.287E+01,-1.533E+02,1.000E-02
6.40E+01,4.266E+01,1.212E+01,-1.543E+02,1.000E-02
6.50E+01,4.365E+01,1.138E+01,-1.552E+02,1.000E-02
6.60E+01,4.467E+01,1.063E+01,-1.557E+02,1.000E-02
6.70E+01,4.571E+01,9.852E+00,-1.565E+02,1.000E-02
6.80E+01,4.677E+01,8.884E+00,-1.575E+02,1.000E-02
6.90E+01,4.786E+01,7.989E+00,-1.584E+02,1.000E-02
7.00E+01,4.898E+01,7.037E+00,-1.590E+02,1.000E-02
7.10E+01,5.012E+01,5.919E+00,-1.594E+02,1.000E-02
7.20E+01,5.129E+01,4.778E+00,-1.610E+02,1.000E-02
7.30E+01,5.248E+01,3.518E+00,-1.608E+02,1.000E-02
7.40E+01,5.370E+01,1.970E+00,-1.624E+02,1.000E-02
7.50E+01,5.495E+01,2.309E-01,-1.606E+02,1.000E-02
7.60E+01,5.623E+01,-1.538E+00,-1.606E+02,1.000E-02
7.70E+01,5.754E+01,-3.688E+00,-1.629E+02,1.000E-02
7.80E+01,5.888E+01,-7.746E+00,-1.613E+02,1.000E-02
7.90E+01,6.026E+01,-1.281E+01,-1.599E+02,1.000E-02
8.00E+01,6.166E+01,-2.435E+01,-1.173E+02,1.000E-02
8.10E+01,6.310E+01,-1.777E+01,-2.699E+01,1.000E-02
8.20E+01,6.457E+01,-1.189E+01,-1.307E+00,1.000E-02
8.30E+01,6.607E+01,-6.752E+00,2.194E+00,1.000E-02
8.40E+01,6.761E+01,-5.069E+00,1.241E+00,1.000E-02
8.50E+01,6.918E+01,-2.809E+00,3.553E-01,1.000E-02
8.60E+01,7.079E+01,-1.092E+00,1.401E+00,1.000E-02
8.70E+01,7.244E+01,-3.123E-01,2.806E+00,1.000E-02
8.80E+01,7.413E+01,1.020E+00,5.399E-01,1.000E-02
8.90E+01,7.586E+01,1.753E+00,-2.965E-01,1.000E-02
9.00E+01,7.762E+01,2.678E+00,-4.327E-02,1.000E-02
9.10E+01,7.943E+01,3.147E+00,-9.087E-01,1.000E-02
9.20E+01,8.128E+01,3.723E+00,-1.390E+00,1.000E-02
9.30E+01,8.318E+01,4.350E+00,-2.335E+00,1.000E-02
9.40E+01,8.511E+01,4.773E+00,-2.129E+00,1.000E-02
9.50E+01,8.710E+01,5.320E+00,-3.464E+00,1.000E-02
9.60E+01,8.913E+01,5.628E+00,-4.166E+00,1.000E-02
9.70E+01,9.120E+01,5.914E+00,-4.723E+00,1.000E-02
9.80E+01,9.333E+01,6.327E+00,-5.566E+00,1.000E-02
9.90E+01,9.550E+01,6.566E+00,-6.560E+00,1.000E-02
1.00E+02,9.772E+01,6.836E+00,-6.916E+00,1.000E-02
1.01E+02,1.000E+02,7.111E+00,-8.007E+00,1.000E-02
1.02E+02,1.023E+02,7.294E+00,-8.618E+00,1.000E-02
1.03E+02,1.047E+02,7.468E+00,-9.400E+00,1.000E-02
1.04E+02,1.072E+02,7.669E+00,-1.029E+01,1.000E-02
1.05E+02,1.096E+02,7.866E+00,-1.080E+01,1.000E-02
1.06E+02,1.122E+02,8.013E+00,-1.183E+01,1.000E-02
1.07E+02,1.148E+02,8.178E+00,-1.240E+01,1.000E-02
1.08E+02,1.175E+02,8.265E+00,-1.305E+01,1.000E-02
1.09E+02,1.202E+02,8.382E+00,-1.381E+01,1.000E-02
1.10E+02,1.230E+02,8.468E+00,-1.464E+01,1.000E-02
1.11E+02,1.259E+02,8.600E+00,-1.565E+01,1.000E-02
1.12E+02,1.288E+02,8.669E+00,-1.627E+01,1.000E-02
1.13E+02,1.318E+02,8.741E+00,-1.717E+01,1.000E-02
1.14E+02,1.349E+02,8.816E+00,-1.803E+01,1.000E-02
1.15E+02,1.380E+02,8.794E+00,-1.872E+01,1.000E-02
1.16E+02,1.413E+02,8.903E+00,-1.956E+01,1.000E-02
1.17E+02,1.445E+02,8.980E+00,-2.036E+01,1.000E-02
1.18E+02,1.479E+02,9.004E+00,-2.098E+01,1.000E-02
