in s,C1 in V
-1.000000E-03,-2.9771576E-03
-9.999840E-04,-3.4195709E-03
-9.999680E-04,-2.0273895E-03
-9.999520E-04,-3.0664520E-03
-9.999360E-04,-2.7579803E-03
-9.999200E-04,-2.3642731E-03
-9.999040E-04,-1.7432709E-03
-9.998880E-04,-2.1694489E-03
-9.998720E-04,-2.1045074E-03
-9.998560E-04,-2.3277435E-03
-9.998400E-04,-1.9746246E-03
-9.998240E-04,-1.9259186E-03
-9.998080E-04,-1.5322113E-03
-9.997920E-04,-2.1856842E-03
-9.997760E-04,-1.4956818E-03
-9.997600E-04,-1.7148590E-03
-9.997440E-04,-2.2993317E-03
-9.997280E-04,-1.0289154E-03
-9.997120E-04,-1.4185638E-03
-9.996960E-04,-1.1425629E-03
-9.996800E-04,-3.6326599E-04
-9.996640E-04,-8.8279724E-04
-9.996480E-04,-3.7544250E-04
-9.996320E-04,-5.3373718E-04
-9.996160E-04,1.5626526E-04
-9.996000E-04,-3.2673645E-04
-9.995840E-04,-9.3556213E-04
-9.995680E-04,1.5626526E-04
-9.995520E-04,-5.4591370E-04
-9.995360E-04,-5.0735474E-05
-9.995200E-04,3.5108948E-04
-9.995040E-04,1.3191223E-04
-9.994880E-04,1.3252106E-03
-9.994720E-04,2.7397156E-04
-9.994560E-04,1.2480927E-03
-9.994400E-04,3.1050110E-04
-9.994240E-04,7.1638489E-04
-9.994080E-04,8.3003235E-04
-9.993920E-04,4.0385437E-04
-9.993760E-04,8.5844421E-04
-9.993600E-04,5.0532532E-04
-9.993440E-04,8.7062073E-04
-9.993280E-04,5.7026672E-04
-9.993120E-04,1.3008575E-03
-9.992960E-04,6.7579651E-04
-9.992800E-04,1.5322113E-03
-9.992640E-04,9.7615051E-04
-9.992480E-04,2.3155670E-03
-9.992320E-04,3.2673645E-04
-9.992160E-04,2.0801544E-03
-9.992000E-04,1.1425629E-03
-9.991840E-04,2.3642731E-03
-9.991680E-04,2.2506256E-03
-9.991520E-04,2.3399200E-03
-9.991360E-04,1.5849762E-03
-9.991200E-04,2.2100372E-03
-9.991040E-04,2.2871552E-03
-9.990880E-04,2.4941559E-03
-9.990720E-04,3.0420990E-03
-9.990560E-04,1.5971527E-03
-9.990400E-04,3.4966888E-03
-9.990240E-04,1.7432709E-03
-9.990080E-04,3.8863373E-03
-9.989920E-04,2.9649811E-03
-9.989760E-04,3.7036896E-03
-9.989600E-04,3.4195709E-03
-9.989440E-04,3.9147491E-03
-9.989280E-04,4.0568085E-03
-9.989120E-04,4.1217499E-03
-9.988960E-04,3.8498077E-03
-9.988800E-04,4.7833405E-03
-9.988640E-04,4.3409271E-03
-9.988480E-04,4.9010468E-03
-9.988320E-04,4.0283966E-03
-9.988160E-04,4.5763397E-03
-9.988000E-04,5.2541656E-03
-9.987840E-04,4.4870453E-03
-9.987680E-04,4.6818695E-03
-9.987520E-04,5.0431061E-03
-9.987360E-04,4.5641632E-03
-9.987200E-04,5.4976959E-03
-9.987040E-04,4.4221039E-03
-9.986880E-04,5.2135773E-03
-9.986720E-04,4.8482819E-03
-9.986560E-04,5.8629913E-03
-9.986400E-04,5.1242828E-03
-9.986240E-04,5.2785187E-03
-9.986080E-04,5.7209320E-03
-9.985920E-04,4.6169281E-03
-9.985760E-04,5.6681671E-03
-9.985600E-04,6.7884064E-03
-9.985440E-04,5.4976959E-03
-9.985280E-04,6.3459930E-03
-9.985120E-04,6.1227570E-03
-9.984960E-04,6.0862274E-03
-9.984800E-04,7.1780548E-03
-9.984640E-04,5.6438141E-03
-9.984480E-04,6.7599945E-03
-9.984320E-04,6.1633453E-03
-9.984160E-04,6.6707001E-03
-9.984000E-04,6.4596405E-03
-9.983840E-04,7.1618195E-03
-9.983680E-04,6.9548187E-03
-9.983520E-04,7.1374664E-03
-9.983360E-04,7.6204681E-03
-9.983200E-04,7.4621735E-03
-9.983040E-04,7.6042328E-03
-9.982880E-04,7.4499969E-03
-9.982720E-04,7.9817047E-03
-9.982560E-04,7.5149384E-03
-9.982400E-04,7.9817047E-03
-9.982240E-04,7.5271149E-03
-9.982080E-04,9.0207672E-03
-9.981920E-04,7.6975861E-03
-9.981760E-04,8.3470001E-03
-9.981600E-04,8.6717072E-03
-9.981440E-04,8.4119415E-03
-9.981280E-04,8.7488251E-03
-9.981120E-04,9.2683563E-03
-9.980960E-04,8.7772369E-03
-9.980800E-04,9.1262970E-03
-9.980640E-04,9.3495331E-03
-9.980480E-04,8.3064117E-03
-9.980320E-04,8.6595306E-03
-9.980160E-04,8.8908844E-03
-9.980000E-04,9.9583588E-03
-9.979840E-04,9.4631805E-03
-9.979680E-04,1.0063889E-02
-9.979520E-04,8.8543549E-03
-9.979360E-04,9.9177704E-03
-9.979200E-04,1.0023300E-02
-9.979040E-04,9.9055939E-03
-9.978880E-04,9.8690643E-03
-9.978720E-04,1.0023300E-02
-9.978560E-04,1.0023300E-02
-9.978400E-04,9.8690643E-03
-9.978240E-04,9.6742401E-03
-9.978080E-04,1.0023300E-02
-9.977920E-04,1.0035477E-02
-9.977760E-04,1.0530655E-02
-9.977600E-04,1.0636185E-02
-9.977440E-04,1.0802597E-02
-9.977280E-04,1.0348007E-02
-9.977120E-04,9.9989471E-03
-9.976960E-04,1.0879715E-02
-9.976800E-04,1.1792953E-02
-9.976640E-04,1.1155716E-02
-9.976480E-04,1.1468246E-02
-9.976320E-04,1.1338364E-02
-9.976160E-04,1.1817307E-02
-9.976000E-04,1.2129837E-02
-9.975840E-04,1.1922836E-02
-9.975680E-04,1.2401779E-02
-9.975520E-04,1.1882248E-02
-9.975360E-04,1.1845718E-02
-9.975200E-04,1.2909134E-02
-9.975040E-04,1.3103958E-02
-9.974880E-04,1.2349014E-02
-9.974720E-04,1.2413956E-02
-9.974560E-04,1.2726486E-02
-9.974400E-04,1.3534195E-02
-9.974240E-04,1.2170425E-02
-9.974080E-04,1.3457077E-02
-9.973920E-04,1.3168900E-02
-9.973760E-04,1.3428665E-02
-9.973600E-04,1.3522018E-02
-9.973440E-04,1.3936020E-02
-9.973280E-04,1.3168900E-02
-9.973120E-04,1.3704666E-02
-9.972960E-04,1.3209488E-02
-9.972800E-04,1.3729019E-02
-9.972640E-04,1.2884781E-02
-9.972480E-04,1.3676254E-02
-9.972320E-04,1.3039017E-02
-9.972160E-04,1.3509842E-02
-9.972000E-04,1.4354080E-02
-9.971840E-04,1.3741196E-02
-9.971680E-04,1.4585434E-02
-9.971520E-04,1.3651901E-02
-9.971360E-04,1.5328201E-02
-9.971200E-04,1.4638199E-02
-9.971040E-04,1.4289139E-02
-9.970880E-04,1.4260727E-02
-9.970720E-04,1.4650375E-02
-9.970560E-04,1.4325668E-02
-9.970400E-04,1.4703140E-02
-9.970240E-04,1.4366257E-02
-9.970080E-04,1.5600143E-02
-9.969920E-04,1.5368790E-02
-9.969760E-04,1.5912674E-02
-9.969600E-04,1.6379440E-02
-9.969440E-04,1.5287613E-02
-9.969280E-04,1.6277969E-02
-9.969120E-04,1.5807144E-02
-9.968960E-04,1.6537735E-02
-9.968800E-04,1.6497147E-02
-9.968640E-04,1.6627029E-02
-9.968480E-04,1.6574265E-02
-9.968320E-04,1.6407852E-02
-9.968160E-04,1.6627029E-02
-9.968000E-04,1.6903030E-02
-9.967840E-04,1.7069443E-02
-9.967680E-04,1.6549911E-02
-9.967520E-04,1.7057266E-02
-9.967360E-04,1.7552444E-02
-9.967200E-04,1.7682327E-02
-9.967040E-04,1.6655441E-02
-9.966880E-04,1.7329208E-02
-9.966720E-04,1.7381973E-02
-9.966560E-04,1.7341385E-02
-9.966400E-04,1.7588974E-02
-9.966240E-04,1.7317032E-02
-9.966080E-04,1.7357620E-02
-9.965920E-04,1.7564621E-02
-9.965760E-04,1.8226212E-02
-9.965600E-04,1.7653915E-02
