in Hz,Spectrum in dBm
8.3923340E+04,-4.30775E+01
8.4400177E+04,-4.30975E+01
8.4877014E+04,-4.31175E+01
8.5353851E+04,-4.31375E+01
8.5830688E+04,-4.31375E+01
8.6307526E+04,-4.31575E+01
8.6784363E+04,-4.31575E+01
8.7261200E+04,-4.31775E+01
8.7738037E+04,-4.32175E+01
8.8214874E+04,-4.32775E+01
8.8691711E+04,-4.33575E+01
8.9168549E+04,-4.34775E+01
8.9645386E+04,-4.36375E+01
9.0122223E+04,-4.38375E+01
9.0599060E+04,-4.40775E+01
9.1075897E+04,-4.43775E+01
9.1552734E+04,-4.47375E+01
9.2029572E+04,-4.51575E+01
9.2506409E+04,-4.56175E+01
9.2983246E+04,-4.61575E+01
9.3460083E+04,-4.67775E+01
9.3936920E+04,-4.74975E+01
9.4413757E+04,-4.83175E+01
9.4890594E+04,-4.92375E+01
9.5367432E+04,-5.03175E+01
9.5844269E+04,-5.15375E+01
9.6321106E+04,-5.29775E+01
9.6797943E+04,-5.46175E+01
9.7274780E+04,-5.65175E+01
9.7751617E+04,-5.86375E+01
9.8228455E+04,-6.07375E+01
9.8705292E+04,-6.21975E+01
9.9182129E+04,-6.23975E+01
9.9658966E+04,-6.14975E+01
1.0013580E+05,-6.02575E+01
1.0061264E+05,-5.91575E+01
1.0108948E+05,-5.82575E+01
1.0156631E+05,-5.75575E+01
1.0204315E+05,-5.69975E+01
1.0251999E+05,-5.65575E+01
1.0299683E+05,-5.61375E+01
1.0347366E+05,-5.57375E+01
1.0395050E+05,-5.53175E+01
1.0442734E+05,-5.48575E+01
1.0490417E+05,-5.43775E+01
1.0538101E+05,-5.38375E+01
1.0585785E+05,-5.33175E+01
1.0633469E+05,-5.27975E+01
1.0681152E+05,-5.22975E+01
1.0728836E+05,-5.18175E+01
1.0776520E+05,-5.13975E+01
1.0824203E+05,-5.09975E+01
1.0871887E+05,-5.06575E+01
1.0919571E+05,-5.03575E+01
1.0967255E+05,-5.00775E+01
1.1014938E+05,-4.98375E+01
1.1062622E+05,-4.96375E+01
1.1110306E+05,-4.94375E+01
1.1157990E+05,-4.92575E+01
1.1205673E+05,-4.90975E+01
