in s,C1 in V
-6.00000E-04,6.5069260E-02
-5.99984E-04,6.6031204E-02
-5.99968E-04,6.4472610E-02
-5.99952E-04,6.5682144E-02
-5.99936E-04,6.4703964E-02
-5.99920E-04,6.4951553E-02
-5.99904E-04,6.4691788E-02
-5.99888E-04,6.4614670E-02
-5.99872E-04,6.4395493E-02
-5.99856E-04,6.5523849E-02
-5.99840E-04,6.4379257E-02
-5.99824E-04,6.5747086E-02
-5.99808E-04,6.3965256E-02
-5.99792E-04,6.5016495E-02
-5.99776E-04,6.5146378E-02
-5.99760E-04,6.3222488E-02
-5.99744E-04,6.6083969E-02
-5.99728E-04,6.3742020E-02
-5.99712E-04,6.5747086E-02
-5.99696E-04,6.4160080E-02
-5.99680E-04,6.6083969E-02
-5.99664E-04,6.4850082E-02
-5.99648E-04,6.4549728E-02
-5.99632E-04,6.4809494E-02
-5.99616E-04,6.4821671E-02
-5.99600E-04,6.5227554E-02
-5.99584E-04,6.5422379E-02
-5.99568E-04,6.4744553E-02
-5.99552E-04,6.5251907E-02
-5.99536E-04,6.5227554E-02
-5.99520E-04,6.4561905E-02
-5.99504E-04,6.5499496E-02
-5.99488E-04,6.4833847E-02
-5.99472E-04,6.5783615E-02
-5.99456E-04,6.5081436E-02
-5.99440E-04,6.6096146E-02
-5.99424E-04,6.3977432E-02
-5.99408E-04,6.5458908E-02
-5.99392E-04,6.5292496E-02
-5.99376E-04,6.4797318E-02
-5.99360E-04,6.5653732E-02
-5.99344E-04,6.5682144E-02
-5.99328E-04,6.4744553E-02
-5.99312E-04,6.5795792E-02
-5.99296E-04,6.4785141E-02
-5.99280E-04,6.4314316E-02
-5.99264E-04,6.5941910E-02
-5.99248E-04,6.4768906E-02
-5.99232E-04,6.5889145E-02
-5.99216E-04,6.5186966E-02
-5.99200E-04,6.4184433E-02
-5.99184E-04,6.5146378E-02
-5.99168E-04,6.4927200E-02
-5.99152E-04,6.5629379E-02
-5.99136E-04,6.4496964E-02
-5.99120E-04,6.5471085E-02
-5.99104E-04,6.4732376E-02
-5.99088E-04,6.4225021E-02
-5.99072E-04,6.5730850E-02
-5.99056E-04,6.4460434E-02
-5.99040E-04,6.5393967E-02
-5.99024E-04,6.5211319E-02
-5.99008E-04,6.4915024E-02
-5.98992E-04,6.5499496E-02
-5.98976E-04,6.5718674E-02
-5.98960E-04,6.4639023E-02
-5.98944E-04,6.5329025E-02
-5.98928E-04,6.3859726E-02
-5.98912E-04,6.5913498E-02
-5.98896E-04,6.3640549E-02
-5.98880E-04,6.5276260E-02
-5.98864E-04,6.5016495E-02
-5.98848E-04,6.4265610E-02
-5.98832E-04,6.5057083E-02
-5.98816E-04,6.4874435E-02
-5.98800E-04,6.4809494E-02
-5.98784E-04,6.4833847E-02
-5.98768E-04,6.4277786E-02
-5.98752E-04,6.5629379E-02
-5.98736E-04,6.4785141E-02
-5.98720E-04,6.4886612E-02
-5.98704E-04,6.5304672E-02
-5.98688E-04,6.4639023E-02
-5.98672E-04,6.5824203E-02
-5.98656E-04,6.4821671E-02
