in s,C2 in V
-6.0000184E+00,-1.4076233E+00
-5.9999268E+00,-1.4088440E+00
-5.9998352E+00,-1.4137268E+00
-5.9997437E+00,-1.4149475E+00
-5.9996521E+00,-1.4140320E+00
-5.9995606E+00,-1.4128113E+00
-5.9994690E+00,-1.4128113E+00
-5.9993774E+00,-1.4173889E+00
-5.9992859E+00,-1.4213562E+00
-5.9991943E+00,-1.4140320E+00
-5.9991028E+00,-1.4161682E+00
-5.9990112E+00,-1.4164734E+00
-5.9989196E+00,-1.4158630E+00
-5.9988281E+00,-1.4213562E+00
-5.9987365E+00,-1.4237976E+00
-5.9986450E+00,-1.4219666E+00
-5.9985534E+00,-1.4204407E+00
-5.9984618E+00,-1.4204407E+00
-5.9983703E+00,-1.4189148E+00
-5.9982787E+00,-1.4192200E+00
-5.9981872E+00,-1.4244080E+00
-5.9980956E+00,-1.4237976E+00
-5.9980040E+00,-1.4250183E+00
-5.9979125E+00,-1.4283752E+00
-5.9978209E+00,-1.4274597E+00
-5.9977294E+00,-1.4286804E+00
-5.9976378E+00,-1.4271545E+00
-5.9975462E+00,-1.4247131E+00
-5.9974547E+00,-1.4204407E+00
-5.9973631E+00,-1.4170837E+00
-5.9972716E+00,-1.4213562E+00
-5.9971800E+00,-1.4167786E+00
-5.9970884E+00,-1.4228821E+00
-5.9969969E+00,-1.4192200E+00
-5.9969053E+00,-1.4186096E+00
-5.9968138E+00,-1.4222717E+00
-5.9967222E+00,-1.4222717E+00
-5.9966306E+00,-1.4225769E+00
-5.9965391E+00,-1.4274597E+00
-5.9964475E+00,-1.4326477E+00
-5.9963560E+00,-1.4372253E+00
-5.9962644E+00,-1.4381409E+00
-5.9961728E+00,-1.4335632E+00
-5.9960813E+00,-1.4341736E+00
-5.9959897E+00,-1.4332581E+00
-5.9958982E+00,-1.4408875E+00
-5.9958066E+00,-1.4341736E+00
-5.9957150E+00,-1.4350891E+00
-5.9956235E+00,-1.4375305E+00
-5.9955319E+00,-1.4378357E+00
-5.9954404E+00,-1.4405823E+00
-5.9953488E+00,-1.4381409E+00
-5.9952572E+00,-1.4384460E+00
-5.9951657E+00,-1.4390564E+00
-5.9950741E+00,-1.4454651E+00
-5.9949826E+00,-1.4488220E+00
-5.9948910E+00,-1.4460754E+00
-5.9947994E+00,-1.4439392E+00
-5.9947079E+00,-1.4414978E+00
-5.9946163E+00,-1.4390564E+00
-5.9945248E+00,-1.4439392E+00
-5.9944332E+00,-1.4396667E+00
-5.9943416E+00,-1.4427185E+00
