in s,C2 in V
-6.0000184E+00,4.5188904E+00
-5.9999268E+00,4.5130920E+00
-5.9998352E+00,4.5060730E+00
-5.9997437E+00,4.4975281E+00
-5.9996521E+00,4.4908142E+00
-5.9995606E+00,4.4807434E+00
-5.9994690E+00,4.4721985E+00
-5.9993774E+00,4.4676208E+00
-5.9992859E+00,4.4645691E+00
-5.9991943E+00,4.4575500E+00
-5.9991028E+00,4.4468689E+00
-5.9990112E+00,4.4435120E+00
-5.9989196E+00,4.4416809E+00
-5.9988281E+00,4.4358826E+00
-5.9987365E+00,4.4303894E+00
-5.9986450E+00,4.4194031E+00
-5.9985534E+00,4.4087219E+00
-5.9984618E+00,4.3974304E+00
-5.9983703E+00,4.3885803E+00
-5.9982787E+00,4.3775940E+00
-5.9981872E+00,4.3717957E+00
-5.9980956E+00,4.3638611E+00
-5.9980040E+00,4.3556213E+00
-5.9979125E+00,4.3495178E+00
-5.9978209E+00,4.3412781E+00
-5.9977294E+00,4.3376160E+00
-5.9976378E+00,4.3275452E+00
-5.9975462E+00,4.3177795E+00
-5.9974547E+00,4.3089294E+00
-5.9973631E+00,4.3003845E+00
-5.9972716E+00,4.2933655E+00
-5.9971800E+00,4.2817688E+00
-5.9970884E+00,4.2689514E+00
-5.9969969E+00,4.2628479E+00
-5.9969053E+00,4.2509460E+00
-5.9968138E+00,4.2411804E+00
-5.9967222E+00,4.2326355E+00
-5.9966306E+00,4.2216492E+00
-5.9965391E+00,4.2173767E+00
-5.9964475E+00,4.2109680E+00
-5.9963560E+00,4.2027283E+00
-5.9962644E+00,4.1923523E+00
-5.9961728E+00,4.1831970E+00
-5.9960813E+00,4.1697693E+00
-5.9959897E+00,4.1615295E+00
-5.9958982E+00,4.1523743E+00
-5.9958066E+00,4.1371155E+00
-5.9957150E+00,4.1282654E+00
-5.9956235E+00,4.1181946E+00
-5.9955319E+00,4.1069031E+00
-5.9954404E+00,4.0977478E+00
-5.9953488E+00,4.0855408E+00
-5.9952572E+00,4.0751648E+00
-5.9951657E+00,4.0687561E+00
-5.9950741E+00,4.0577698E+00
-5.9949826E+00,4.0544128E+00
-5.9948910E+00,4.0422058E+00
-5.9947994E+00,4.0376282E+00
-5.9947079E+00,4.0278625E+00
-5.9946163E+00,4.0150452E+00
-5.9945248E+00,4.0003967E+00
-5.9944332E+00,3.9830017E+00
-5.9943416E+00,3.9714050E+00
-5.9942501E+00,3.9601135E+00
-5.9941585E+00,3.9500427E+00
-5.9940670E+00,3.9408875E+00
-5.9939754E+00,3.9259338E+00
-5.9938838E+00,3.9134216E+00
-5.9937923E+00,3.9045715E+00
-5.9937007E+00,3.8871765E+00
-5.9936092E+00,3.8807678E+00
-5.9935176E+00,3.8697815E+00
-5.9934260E+00,3.8600159E+00
-5.9933345E+00,3.8548279E+00
-5.9932429E+00,3.8447571E+00
-5.9931514E+00,3.8316345E+00
