in s,C2 in V
-2.9927169E+00,-7.7621460E-01
-2.9926712E+00,-7.7346802E-01
-2.9926254E+00,-7.7468872E-01
-2.9925796E+00,-7.7377319E-01
-2.9925338E+00,-7.7377319E-01
-2.9924880E+00,-7.7377319E-01
-2.9924422E+00,-7.7651978E-01
-2.9923965E+00,-7.7621460E-01
-2.9923507E+00,-7.7346802E-01
-2.9923049E+00,-7.7499390E-01
-2.9922591E+00,-7.7804565E-01
-2.9922133E+00,-7.7346802E-01
-2.9921675E+00,-7.7682495E-01
-2.9921218E+00,-7.7407837E-01
-2.9920760E+00,-7.7377319E-01
-2.9920302E+00,-7.7163696E-01
-2.9919844E+00,-7.6980591E-01
-2.9919386E+00,-7.7377319E-01
-2.9918928E+00,-7.7133179E-01
-2.9918470E+00,-7.6736450E-01
-2.9918013E+00,-7.6889038E-01
-2.9917555E+00,-7.7224731E-01
-2.9917097E+00,-7.7163696E-01
-2.9916639E+00,-7.7255249E-01
-2.9916181E+00,-7.7224731E-01
-2.9915723E+00,-7.7316284E-01
-2.9915266E+00,-7.7804565E-01
-2.9914808E+00,-7.7468872E-01
-2.9914350E+00,-7.7163696E-01
-2.9913892E+00,-7.7560425E-01
-2.9913434E+00,-7.7133179E-01
-2.9912976E+00,-7.7468872E-01
-2.9912519E+00,-7.7224731E-01
-2.9912061E+00,-7.7102661E-01
-2.9911603E+00,-7.6705933E-01
-2.9911145E+00,-7.6766968E-01
-2.9910687E+00,-7.6736450E-01
-2.9910229E+00,-7.7041626E-01
-2.9909772E+00,-7.6553345E-01
-2.9909314E+00,-7.6858521E-01
-2.9908856E+00,-7.6797485E-01
-2.9908398E+00,-7.6889038E-01
-2.9907940E+00,-7.6614380E-01
-2.9907482E+00,-7.6919556E-01
-2.9907024E+00,-7.7011108E-01
-2.9906567E+00,-7.7041626E-01
-2.9906109E+00,-7.6675415E-01
-2.9905651E+00,-7.6858521E-01
-2.9905193E+00,-7.6370239E-01
-2.9904735E+00,-7.6553345E-01
-2.9904277E+00,-7.6675415E-01
-2.9903820E+00,-7.6919556E-01
-2.9903362E+00,-7.6736450E-01
-2.9902904E+00,-7.6522827E-01
-2.9902446E+00,-7.6705933E-01
-2.9901988E+00,-7.7224731E-01
-2.9901530E+00,-7.7560425E-01
-2.9901073E+00,-7.7377319E-01
-2.9900615E+00,-7.7285767E-01
-2.9900157E+00,-7.7316284E-01
