in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.0E+00,1.000E+02,2.020E+01,1.799E+02,1.000E-01
2.0E+00,1.122E+02,2.019E+01,1.799E+02,1.000E-01
3.0E+00,1.259E+02,2.020E+01,-1.800E+02,1.000E-01
4.0E+00,1.413E+02,2.019E+01,-1.799E+02,1.000E-01
5.0E+00,1.585E+02,2.017E+01,1.800E+02,1.000E-01
6.0E+00,1.778E+02,2.021E+01,-1.799E+02,1.000E-01
7.0E+00,1.995E+02,2.017E+01,1.800E+02,1.000E-01
8.0E+00,2.239E+02,2.019E+01,1.799E+02,1.000E-01
9.0E+00,2.512E+02,2.021E+01,1.799E+02,1.000E-01
1.0E+01,2.818E+02,2.018E+01,1.799E+02,1.000E-01
1.1E+01,3.162E+02,2.021E+01,1.799E+02,1.000E-01
1.2E+01,3.548E+02,2.018E+01,1.799E+02,1.000E-01
1.3E+01,3.981E+02,2.020E+01,1.799E+02,1.000E-01
1.4E+01,4.467E+02,2.018E+01,1.800E+02,1.000E-01
1.5E+01,5.012E+02,2.021E+01,1.796E+02,1.000E-01
1.6E+01,5.623E+02,2.019E+01,1.797E+02,1.000E-01
1.7E+01,6.310E+02,2.020E+01,1.799E+02,1.000E-01
1.8E+01,7.079E+02,2.019E+01,1.798E+02,1.000E-01
1.9E+01,7.943E+02,2.018E+01,1.796E+02,1.000E-01
2.0E+01,8.913E+02,2.019E+01,1.798E+02,1.000E-01
2.1E+01,1.000E+03,2.019E+01,1.797E+02,1.000E-01
2.2E+01,1.122E+03,2.018E+01,1.797E+02,1.000E-01
2.3E+01,1.259E+03,2.017E+01,1.794E+02,1.000E-01
2.4E+01,1.413E+03,2.018E+01,1.794E+02,1.000E-01
2.5E+01,1.585E+03,2.018E+01,1.795E+02,1.000E-01
2.6E+01,1.778E+03,2.017E+01,1.793E+02,1.000E-01
2.7E+01,1.995E+03,2.017E+01,1.794E+02,1.000E-01
2.8E+01,2.239E+03,2.018E+01,1.793E+02,1.000E-01
2.9E+01,2.512E+03,2.017E+01,1.793E+02,1.000E-01
3.0E+01,2.818E+03,2.018E+01,1.791E+02,1.000E-01
3.1E+01,3.162E+03,2.017E+01,1.790E+02,1.000E-01
3.2E+01,3.548E+03,2.016E+01,1.789E+02,1.000E-01
3.3E+01,3.981E+03,2.016E+01,1.788E+02,1.000E-01
3.4E+01,4.467E+03,2.016E+01,1.788E+02,1.000E-01
3.5E+01,5.012E+03,2.017E+01,1.787E+02,1.000E-01
3.6E+01,5.623E+03,2.017E+01,1.785E+02,1.000E-01
3.7E+01,6.310E+03,2.014E+01,1.784E+02,1.000E-01
3.8E+01,7.079E+03,2.019E+01,1.781E+02,1.000E-01
3.9E+01,7.943E+03,2.018E+01,1.780E+02,1.000E-01
4.0E+01,8.913E+03,2.016E+01,1.777E+02,1.000E-01
4.1E+01,1.000E+04,2.014E+01,1.774E+02,1.000E-01
4.2E+01,1.122E+04,2.015E+01,1.771E+02,1.000E-01
4.3E+01,1.259E+04,2.016E+01,1.768E+02,1.000E-01
4.4E+01,1.413E+04,2.015E+01,1.764E+02,1.000E-01
4.5E+01,1.585E+04,2.013E+01,1.759E+02,1.000E-01
4.6E+01,1.778E+04,2.013E+01,1.754E+02,1.000E-01
4.7E+01,1.995E+04,2.013E+01,1.749E+02,1.000E-01
4.8E+01,2.239E+04,2.012E+01,1.742E+02,1.000E-01
4.9E+01,2.512E+04,2.010E+01,1.736E+02,1.000E-01
5.0E+01,2.818E+04,2.009E+01,1.728E+02,1.000E-01
5.1E+01,3.162E+04,2.005E+01,1.719E+02,1.000E-01
5.2E+01,3.548E+04,2.005E+01,1.711E+02,1.000E-01
5.3E+01,3.981E+04,2.001E+01,1.700E+02,1.000E-01
5.4E+01,4.467E+04,1.998E+01,1.687E+02,1.000E-01
5.5E+01,5.012E+04,1.994E+01,1.674E+02,1.000E-01
5.6E+01,5.623E+04,1.990E+01,1.659E+02,1.000E-01
5.7E+01,6.310E+04,1.984E+01,1.642E+02,1.000E-01
5.8E+01,7.079E+04,1.977E+01,1.623E+02,1.000E-01
5.9E+01,7.943E+04,1.967E+01,1.605E+02,1.000E-01
6.0E+01,8.913E+04,1.957E+01,1.583E+02,1.000E-01
6.1E+01,1.000E+05,1.945E+01,1.559E+02,1.000E-01
6.2E+01,1.122E+05,1.927E+01,1.532E+02,1.000E-01
6.3E+01,1.259E+05,1.907E+01,1.505E+02,1.000E-01
6.4E+01,1.413E+05,1.883E+01,1.475E+02,1.000E-01
6.5E+01,1.585E+05,1.856E+01,1.443E+02,1.000E-01
6.6E+01,1.778E+05,1.823E+01,1.409E+02,1.000E-01
6.7E+01,1.995E+05,1.784E+01,1.374E+02,1.000E-01
6.8E+01,2.239E+05,1.740E+01,1.338E+02,1.000E-01
6.9E+01,2.512E+05,1.691E+01,1.301E+02,1.000E-01
7.0E+01,2.818E+05,1.635E+01,1.261E+02,1.000E-01
7.1E+01,3.162E+05,1.562E+01,1.226E+02,1.000E-01
7.2E+01,3.548E+05,1.501E+01,1.195E+02,1.000E-01
7.3E+01,3.981E+05,1.433E+01,1.159E+02,1.000E-01
7.4E+01,4.467E+05,1.358E+01,1.124E+02,1.000E-01
7.5E+01,5.012E+05,1.280E+01,1.091E+02,1.000E-01
7.6E+01,5.623E+05,1.198E+01,1.058E+02,1.000E-01
7.7E+01,6.310E+05,1.114E+01,1.026E+02,1.000E-01
7.8E+01,7.079E+05,1.025E+01,9.949E+01,1.000E-01
7.9E+01,7.943E+05,9.379E+00,9.653E+01,1.000E-01
8.0E+01,8.913E+05,8.477E+00,9.353E+01,1.000E-01
8.1E+01,1.000E+06,7.560E+00,9.059E+01,1.000E-01
